Year;GDP (mln UAH);Δ GDP (mln UAH);% Δ GDP (mln UAH);GDP (mln USD);Δ GDP (mln USD);% Δ GDP (mln USD)
2002;225810;; ;42393;;
2003;267344;41534;18.4%;50133;7740;18.3%
2004;345113;77769;29.1%;64883;14750;29.4%
2005;441452;96339;27.9%;86142;21259;32.8%
2006;544153;102701;23.3%;107753;21611;25.1%
2007;720731;176578;32.5%;142719;34966;32.5%
2008;948056;227325;31.5%;179992;37273;26.1%
2009;913345;-34711;-3.7%;117228;-62765;-34.9%
2010;1082569;169224;18.5%;136419;19192;16.4%
2011;1316600;234031;21.6%;163160;26740;19.6%
2012;1408889;92289;7.0%;175781;12622;7.7%
2013;1454931;46042;3.3%;183310;7529;4.3%
2014;1566728;111797;7.7%;131805;-51505;-28.1%
2015;1979458;412730;26.3%;90615;-41190;-31.3%
2016;2383182;403724;20.4%;93270;2655;2.9%
2017;2982920;599738;25.2%;112154;18884;20.2%
2018;3558706;575786;19.3%;130832;18678;16.7%
2019;3974564;415858;11.7%;153781;22949;17.5%
2020;4194102;219538;5.5%;155582;1801;1.2%
2021;5459574;1265472;30.2%;199770;44188;28.4%
2022;5191028;-268546;-4.9%;161990;-37780;-18.9%
2023;6537825;1346797;25.9%;178760;16770;10.4%
2024;7658659;1120834;17.1%;;;